request_text,expected_task,actual_primary_task,detected_task_types,parsed_slots,error_reason
林同学 现在更需要补概念还是补练习？能顺带给出干预目标和动作吗？,technical_qa,intervention,"[""intervention"", ""dispatch""]","{""task_type"": ""mixed"", ""detected_task_types"": [""intervention"", ""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""林同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
我想给 林同学 做一个 3 到 5 天的小干预，重点解决 图像加载，方案怎么安排更合理？,diagnosis,intervention,"[""intervention""]","{""task_type"": ""intervention"", ""detected_task_types"": [""intervention""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 5, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""林同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
何同学 这周在 作业发布 和 列表操作 上比较不稳，能给我一个个性化干预方案吗？,diagnosis,intervention,"[""intervention""]","{""task_type"": ""intervention"", ""detected_task_types"": [""intervention""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""列表""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""何同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
郭同学 这周在 课件投屏 和 课程设计 上比较不稳，能给我一个个性化干预方案吗？,diagnosis,intervention,"[""intervention""]","{""task_type"": ""intervention"", ""detected_task_types"": [""intervention""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""郭同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
我想给 陈同学 派发练习，再提醒家长关注，能一起生成执行建议吗？,intervention,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""陈同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
老师端演示 计时器与帧率 时总有人追问为什么会报 ValueError。,diagnosis,technical_qa,"[""technical_qa""]","{""task_type"": ""technical_qa"", ""detected_task_types"": [""technical_qa""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": ""ValueError"", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
帮我看看这个学生，最近作业看起来不太对。,intervention,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""这个学生"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
我这里有个学生连续两次都在同一个点出错，先帮我诊断一下。,dispatch,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
老师端演示 列表推导式 时总有人追问为什么会报 SyntaxError。,intervention,technical_qa,"[""technical_qa""]","{""task_type"": ""technical_qa"", ""detected_task_types"": [""technical_qa""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""列表""], ""desired_days"": 0, ""error_type"": ""SyntaxError"", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
这个孩子课堂上能听懂，但一写就错，想先判断问题在哪。,diagnosis,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""这个孩子"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
何同学 最近在 字符串 上连续失分，能结合作业记录看看更像理解问题还是排查顺序问题？,diagnosis,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""字符串""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""何同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
罗同学 现在更需要补概念还是补练习？能顺带给出干预目标和动作吗？,dispatch,intervention,"[""intervention"", ""dispatch""]","{""task_type"": ""mixed"", ""detected_task_types"": [""intervention"", ""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""罗同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
刘同学 最近在 变量 上连续失分，能结合作业记录看看更像理解问题还是排查顺序问题？,intervention,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""刘同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
班里这几个学生在 坐标系 上都不稳，先推荐一个基础练习包给我。,diagnosis,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
何同学 现在更需要补概念还是补练习？能顺带给出干预目标和动作吗？,diagnosis,intervention,"[""intervention"", ""dispatch""]","{""task_type"": ""mixed"", ""detected_task_types"": [""intervention"", ""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""何同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
朱同学 这周在 函数返回值 和 缩进规范 上比较不稳，能给我一个个性化干预方案吗？,dispatch,intervention,"[""intervention""]","{""task_type"": ""intervention"", ""detected_task_types"": [""intervention""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""函数""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""朱同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
李同学 课堂互动没问题，但作业里一直卡在 课程设计，先帮我做个学情判断。,dispatch,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""李同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
杨同学 最近在 切片 上连续失分，能结合作业记录看看更像理解问题还是排查顺序问题？,intervention,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""杨同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
给 孙同学 下发一个围绕 range函数 的补练包，时长别太长，课堂前能做完最好。,technical_qa,dispatch,"[""dispatch""]","{""task_type"": ""dispatch"", ""detected_task_types"": [""dispatch""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [""函数""], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""孙同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
朱同学 课堂互动没问题，但作业里一直卡在 索引访问，先帮我做个学情判断。,technical_qa,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""朱同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
我想给 徐同学 派发练习，再提醒家长关注，能一起生成执行建议吗？,dispatch,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""徐同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
我想给 何同学 做一个 3 到 5 天的小干预，重点解决 文件读写，方案怎么安排更合理？,dispatch,intervention,"[""intervention""]","{""task_type"": ""intervention"", ""detected_task_types"": [""intervention""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 5, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""何同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
徐同学 课堂互动没问题，但作业里一直卡在 变量，先帮我做个学情判断。,dispatch,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""徐同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
朱同学 最近提交里老是报 IndentationError，想看下背后更像哪个知识点没掌握。,intervention,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""朱同学"", ""request_context_flags"": {""recent_submissions"": true, ""stepwise_plan"": false}}",task_mismatch
课堂演示里又遇到 资源找不到，我该怎么给学生讲更顺？,intervention,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
王同学 课堂互动没问题，但作业里一直卡在 文件读写，先帮我做个学情判断。,technical_qa,diagnosis,"[""diagnosis""]","{""task_type"": ""diagnosis"", ""detected_task_types"": [""diagnosis""], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": ""王同学"", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
碰撞检测 这个点学生总混淆，想找一个更好讲的课堂说法。,technical_qa,unknown,[],"{""task_type"": ""unknown"", ""detected_task_types"": [], ""student_id"": """", ""class_id"": """", ""knowledge_points"": [], ""desired_days"": 0, ""error_type"": """", ""task_priority"": ""medium"", ""student_mention"": """", ""request_context_flags"": {""recent_submissions"": false, ""stepwise_plan"": false}}",task_mismatch
